Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
32500.0;1;9;16228.7;1974;30.0;37.0;7;1;5.0;2024;0;0;0;1;56.9652473;24.1847364
59000.0;1;9;16036.0;1977;31.0;64.1;11;3;1.0;2024;0;0;0;1;56.9648958;24.1877537
39000.0;1;9;9469.5;1981;30.0;78.8;14;3;2.0;2024;0;0;0;1;56.9522006;24.1772376
32000.0;1;5;3416.2;1967;27.0;25.7;5;1;2.0;2024;0;0;0;1;56.9376864;24.0430182
38500.0;1;5;3816.5;1964;34.0;45.6;7;2;2.0;2024;0;0;0;1;56.9094833;24.1775163
51500.0;1;5;4119.4;1975;20.0;38.4;7;2;3.0;2024;0;0;0;1;56.9582087;24.1987588
100000.0;1;5;3404.0;1971;25.0;69.3;5;3;3.0;2024;0;0;0;1;56.9733125;24.17268
42950.0;1;5;4929.1;1973;20.0;48.6;8;2;1.0;2024;0;0;0;1;56.9654039;24.0051211
31600.0;1;10;12264.6;1984;29.0;31.7;6;1;1.0;2024;0;0;0;1;56.9364739;24.2055588
28800.0;2;9;2042.8;1987;29.0;32.3;5;1;5.0;2023;0;0;0;1;56.9437384;24.2176746
58010.0;1;5;5044.6;1972;27.0;57.6;7;3;3.0;2024;0;0;0;1;57.0369146;24.0256072
32000.0;1;5;5849.7;1974;25.0;27.3;4;1;2.0;2024;0;0;0;1;56.957884;24.1932254
16000.0;1;5;4915.3;1977;30.0;48.7;8;2;4.0;2024;0;0;0;1;56.9097368;24.185685
59000.0;1;5;1547.0;1967;30.0;42.0;6;2;2.0;2024;0;0;0;1;56.9680658;24.132114
47000.0;1;8;4472.5;1987;30.0;43.5;5;1;4.0;2024;0;0;0;1;56.9382049;24.1861677
32000.0;1;5;4625.5;1963;30.0;46.5;7;2;5.0;2024;0;0;0;1;57.0198423;24.1353841
49400.0;1;5;4070.1;1975;30.0;50.0;7;2;5.0;2024;0;0;0;1;56.9565296;24.0042133
55000.0;1;9;9629.4;1979;30.0;76.6;13;4;6.0;2024;0;0;0;1;56.9658001;24.2368039
44000.0;1;9;16037.1;1978;30.0;54.1;9;2;7.0;2024;0;0;0;1;56.9656285;24.1816148
61000.0;1;5;3562.9;1972;25.0;58.2;5;3;1.0;2024;0;0;0;1;56.9571629;24.1749017
25650.0;1;5;4217.9;1978;20.0;42.3;7;1;4.0;2024;0;0;0;1;56.9862279;24.1746308
31000.0;1;9;16102.6;1972;31.0;36.1;5;1;5.0;2024;0;0;0;1;56.959854;24.1771969
69145.0;1;5;5902.0;1968;33.0;55.1;9;3;4.0;2024;0;0;0;1;56.9060502;24.1955339
17000.0;1;5;3661.1;1962;31.0;42.6;6;2;5.0;2024;0;0;0;1;56.9670043;24.0505247
279000.0;1;9;32570.0;2005;15.0;106.6;7;3;5.0;2024;0;0;0;1;56.955551;24.0988276
47500.0;1;5;4982.8;1973;27.0;67.5;9;3;1.0;2024;0;0;0;1;56.9630451;24.0107606
21000.0;1;10;14626.4;1981;30.0;50.2;10;2;3.0;2024;0;0;0;1;56.9378677;24.1986868
